Human Target,GO Category,Drug(s),M. musculus,Similarity (%),G. gallus,Similarity (%),X. tropicalis,Similarity (%),X. laevis,Similarity (%),G. aculeatus,Similarity (%),D. rerio,Similarity (%),D. melanogaster,Similarity (%),D. pulex,Similarity (%),C. elegans,Similarity (%),A. thaliana,Similarity (%),C. reinhardtii,Similarity (%),D. discoideum,Similarity (%),S. cerevisiae,Similarity (%),T. thermophila,Similarity (%),E. coli,Similarity (%),S. elongatus,Similarity (%)
"P40926|MDHM_HUMAN Malate dehydrogenase, mitochondrial precursor - Homo sapiens",Enzyme,NADH(DB00157),"ENSMUSP00000019323|Malate dehydrogenase, mitochondrial precursor (EC 1.1.1.37). [Source:Uniprot/SWISSPROT;Acc:P08249]",94.67,"ENSGALP00000003012|Malate dehydrogenase, mitochondrial precursor (EC 1.1.1.37). [Source:Uniprot/SWISSPROT;Acc:P40926]",86.39,ENSXETP00000019672|Mitochondrial malate dehydrogenase 2. [Source:Uniprot/SPTREMBL;Acc:Q5MAT0],83.73,gi|148237590|ref|NP_001085326| 'MGC79037 protein [Xenopus laevis]',83.73,"ENSGACP00000008052|Malate dehydrogenase, mitochondrial precursor (EC 1.1.1.37). [Source:Uniprot/SWISSPROT;Acc:P40926]",81.66,ENSDARP00000063661|hypothetical protein LOC406405 [Source:RefSeq_peptide;Acc:NP_998296],65.68,"FBpp0082985 type=protein; loc=3R:join(14052223..14052288,14052452..14052659,14053427..14053623,14053682..14054221); ID=FBpp0082985; name=CG7998-PA; parent=FBgn0038587,FBtr0083563; dbxref=FlyBase:FBpp0082985,FlyBase_Annotation_IDs:CG7998-PA,GB_protein:AAF55516.1,GB_protein:AAF55516; MD5=2398d433054476450d18d6f15a6f0f6e; length=336; release=r5.6; species=Dmel;",58.88,jgi|Dappu1|301215|PASA_GEN_12100068,68.05,F20H11.3 CE09512 WBGene00003162 locus:mdh-1 malate dehydrogenase status:Confirmed SW:O02640 protein_id:AAB53985.1,54.73,"AT1G53240.1 | Symbols:  | malate dehydrogenase (NAD), mitochondrial | chr1:19858634-19860470 REVERSE",56.51,jgi|Chlre3|137163,54.2,DDB0230188 |Protein| gene: mdhB on chromosome: 6 position 1826095 to 1827141,19.15,YKL085W|malate dehydrogenase,51.6,3706.m00025 TTHERM_00237500 malate dehydrogenase family protein,17.91,b3236 malate dehydrogenase (mdh) [1.1.1.37] {Escherichia coli K12-MG1655},53.24,syc1374_d hypothetical protein {Synechococcus elongatus PCC 6301},10.69
"P40939|ECHA_HUMAN Trifunctional enzyme subunit alpha, mitochondrial precursor - Homo sapiens",Enzyme,NADH(DB00157),"ENSMUSP00000026843|mitochondrial trifunctional protein, alpha subunit [Source:RefSeq_peptide;Acc:NP_849209]",86.5,"ENSGALP00000026633|mitochondrial trifunctional protein, alpha subunit [Source:RefSeq_peptide;Acc:NP_990387]",69.83,"ENSXETP00000055792|Hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (Trifunctional protein), alpha subunit. [Source:Uniprot/SPTREMBL;Acc:Q6P4Y3]",76.67,gi|148238090|ref|NP_001085618| 'MGC82638 protein [Xenopus laevis]',77.2,"ENSGACP00000015011|Trifunctional enzyme subunit alpha, mitochondrial precursor (TP-alpha) (78 kDa gastrin-binding protein) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]. [Source:Uniprot/SWISSPROT;Acc:P40939]",71.17,ENSDARP00000070488|hypothetical protein LOC793834 [Source:RefSeq_peptide;Acc:NP_001082906],72.21,"FBpp0079454 type=protein; loc=2L:complement(9573770..9574406,9574469..9575238,9575295..9575435,9575502..9576229,9576518..9576593); ID=FBpp0079454; name=CG4389-PA; parent=FBgn0028479,FBtr0079858; dbxref=FlyBase:FBpp0079454,FlyBase_Annotation_IDs:CG4389-PA,GB_protein:AAF52789.1,GB_protein:AAF52789; MD5=ff5e57bec5f4762ced03c41224f7db49; length=783; release=r5.6; species=Dmel;",54.51,jgi|Dappu1|302417|PASA_GEN_17100005,56.49,T08B2.7a CE13431 WBGene00020347 3-hydroxyacyl-CoA dehydrogenase status:Confirmed TR:Q9GYT0 protein_id:AAK21462.1,51.57,AT4G29010.1 | Symbols: AIM1 | AIM1 (ABNORMAL INFLORESCENCE MERISTEM); enoyl-CoA hydratase | chr4:14297318-14302022 REVERSE,29.05,jgi|Chlre3|79407,11.49,DDB0205217 |Protein| gene: JC3V2_0_01321 on chromosome: 3 position 3396577 to 3397708,11.23,YDR036C|similar to enoyl-CoA hydratase/isomerase family,12.18,"99.m00158 TTHERM_00666640 3-hydroxyacyl-CoA dehydrogenase, NAD binding domain",13.05,b2341 putative enzyme {Escherichia coli K12-MG1655},37.39,syc0926_d naphthoate synthase (menB) {Synechococcus elongatus PCC 6301},8.12
P41143|OPRD_HUMAN Delta-type opioid receptor - Homo sapiens,Receptor,"Morphine(DB00295), Codeine(DB00318), Hydromorphone(DB00327), Oxycodone(DB00497), Butorphanol(DB00611), Propoxyphene(DB00647), Naltrexone(DB00704), Fentanyl(DB00813), Loperamide(DB00836), Nalbuphine(DB00844), Hydrocodone(DB00956), Pimozide(DB01100), Naloxone(DB01183)",ENSMUSP00000050077|Delta-type opioid receptor (DOR-1) (K56) (MSL-2). [Source:Uniprot/SWISSPROT;Acc:P32300],93.82,ENSGALP00000017830|Delta-type opioid receptor (DOR-1). [Source:Uniprot/SWISSPROT;Acc:P41143],69.09,ENSXETP00000017733|Kappa-type opioid receptor (KOR-1). [Source:Uniprot/SWISSPROT;Acc:P41145],54.84,gi|37954116|gb|AAP35234| 'opioid receptor XOR1 [Xenopus laevis]',55.91,ENSGACP00000009687|Delta-type opioid receptor (DOR-1). [Source:Uniprot/SWISSPROT;Acc:P41143],65.33,"ENSDARP00000094579|opioid receptor, delta 1 [Source:RefSeq_peptide;Acc:NP_571333]",65.78,"FBpp0099628 type=protein; loc=3L:complement(18479829..18480293,18480513..18480602,18480816..18481904); ID=FBpp0099628; name=AlCR2-PC; parent=FBgn0036789,FBtr0100242; dbxref=FlyBase_Annotation_IDs:CG13702-PC,FlyBase:FBpp0099628,GB_protein:AAZ66058.1,GB_protein:AAZ66058; MD5=0e4f73ca05e46e5dd4d334f6d9a94899; length=547; release=r5.6; species=Dmel;",29.8,jgi|Dappu1|12576|gw1.75.90.1,31.3,F56B6.5a CE31186 WBGene00006864 locus:uvt-6 G-protein coupled receptor status:Confirmed TR:Q22995 protein_id:AAB04560.3,18.99,No Hit,0,No Hit,0,DDB0231976 |Protein| gene: grlE on chromosome: 6 position 173621 to 176169,8.41,"YMR306W|1,3-beta-glucan synthase",11.06,No Hit,0,b1969 putative 2-component transcriptional regulator (yedW) {Escherichia coli K12-MG1655},11.97,syc0156_d hypothetical protein {Synechococcus elongatus PCC 6301},10.81
P41145|OPRK_HUMAN Kappa-type opioid receptor - Homo sapiens,Receptor,"Morphine(DB00295), Codeine(DB00318), Hydromorphone(DB00327), Mirtazapine(DB00370), Meperidine(DB00454), Oxycodone(DB00497), Butorphanol(DB00611), Propoxyphene(DB00647), Pentazocine(DB00652), Naltrexone(DB00704), Nalbuphine(DB00844), Cocaine(DB00907), Buprenorphine(DB00921), Hydrocodone(DB00956), Dezocine(DB01209)",ENSMUSP00000027038|Kappa-type opioid receptor (KOR-1) (MSL-1). [Source:Uniprot/SWISSPROT;Acc:P33534],93.68,ENSGALP00000024600|Kappa-type opioid receptor (KOR-1). [Source:Uniprot/SWISSPROT;Acc:P41145],85.56,ENSXETP00000017733|Kappa-type opioid receptor (KOR-1). [Source:Uniprot/SWISSPROT;Acc:P41145],65.54,gi|37954116|gb|AAP35234| 'opioid receptor XOR1 [Xenopus laevis]',54.74,ENSGACP00000022607|Kappa-type opioid receptor (KOR-1). [Source:Uniprot/SWISSPROT;Acc:P41145],64.4,"ENSDARP00000022783|opioid receptor, kappa 1 [Source:RefSeq_peptide;Acc:NP_878306]",64.57,"FBpp0088996 type=protein; loc=3L:complement(18479829..18480341,18480555..18480602,18480816..18481904); ID=FBpp0088996; name=AlCR2-PB; parent=FBgn0036789,FBtr0089387; dbxref=GB_protein:AAN11677.1,GB_protein:AAN11677.2,FlyBase:FBpp0088996,FlyBase_Annotation_IDs:CG13702-PB,GB_protein:AAN11677,FlyBase_Annotation_IDs:CG13702-PA; MD5=d80ab3ce787d93f5fc0bc2d49f0deada; length=549; release=r5.6; species=Dmel;",27.3,jgi|Dappu1|12576|gw1.75.90.1,31.07,F56B6.5b CE39375 WBGene00006864 locus:uvt-6 status:Confirmed TR:Q2V4S5 protein_id:ABB88205.1,17.61,AT4G15200.1 | Symbols:  | formin homology 2 domain-containing protein / FH2 domain-containing protein | chr4:8663499-8665759 REVERSE,13.52,jgi|Chlre3|170684,10.91,DDB0220016 |Protein| gene: vps8 on chromosome: 6 position 397697 to 403037,11.85,No Hit,0,164.m00060 TTHERM_00922880 hypothetical protein,12.47,b0832 putative transport system permease protein {Escherichia coli K12-MG1655},12.89,syc1866_d 50S ribosomal protein L4 (rpl4) {Synechococcus elongatus PCC 6301},8.95
P41180|CASR_HUMAN Extracellular calcium-sensing receptor precursor - Homo sapiens,Enzyme;Receptor,Cinacalcet(DB01012),ENSMUSP00000069080|Extracellular calcium-sensing receptor precursor (CaSR) (Parathyroid Cell calcium-sensing receptor). [Source:Uniprot/SWISSPROT;Acc:Q9QY96],93.7,ENSGALP00000023230|Calcium-sensing receptor (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q5TLZ3],81.17,ENSXETP00000024901|Extracellular calcium-sensing receptor precursor (CaSR) (Parathyroid Cell calcium-sensing receptor). [Source:Uniprot/SWISSPROT;Acc:P41180],68.09,gi|148232936|ref|NP_001084496| 'putative pheromone receptor [Xenopus laevis]',22.97,ENSGACP00000027355|Extracellular calcium-sensing receptor precursor (CaSR) (Parathyroid Cell calcium-sensing receptor). [Source:Uniprot/SWISSPROT;Acc:P41180],66.42,ENSDARP00000013946,62.15,"FBpp0088248 type=protein; loc=4:join(959056..959743,960800..961343,963393..963646,963729..963835,964174..964299,964360..964879,964932..965227,966851..967246); ID=FBpp0088248; name=mGluRA-PA; parent=FBgn0019985,FBtr0089184; dbxref=FlyBase:FBpp0088248,FlyBase_Annotation_IDs:CG11144-PA,GB_protein:AAF59402.1,GB_protein:AAF59402; MD5=3022f039c15b4e0a46edf5cb1019962c; length=976; release=r5.6; species=Dmel;",23.59,jgi|Dappu1|44069|e_gw1.6.391.1,21.62,ZC506.4a CE01682 WBGene00003232 locus:mgl-1 metatrophic glutamate receptor status:Predicted SW:Q09630 protein_id:CAA87374.1,21.3,"AT3G51480.1 | Symbols: GLR3.6, ATGLR3.6 | ATGLR3.6 (Arabidopsis thaliana glutamate receptor 3.6) | chr3:19112235-19115660 FORWARD",14.02,jgi|Chlre3|193232,10.3,DDB0231976 |Protein| gene: grlE on chromosome: 6 position 173621 to 176169,13.44,YBR021W|uracil permease,10.2,3694.m00083 TTHERM_00280970 GCC2 and GCC3 family protein,7.79,b0486 putative amino acid/amine transport protein (ybaT) {Escherichia coli K12-MG1655},6.59,syc2233_d periplasmic binding protein of ABC transporter for natural amino acids (natB) {Synechococcus elongatus PCC 6301},7.39
P41231|P2RY2_HUMAN P2Y purinoceptor 2 - Homo sapiens,Receptor,Suramin(DB04786),ENSMUSP00000036765|P2Y purinoceptor 2 (P2Y2) (P2U purinoceptor 1) (P2U1) (ATP receptor) (Purinergic receptor). [Source:Uniprot/SWISSPROT;Acc:P35383],88.06,ENSGALP00000027949|P2Y purinoceptor 2 (P2Y2) (P2U purinoceptor 1) (P2U1) (ATP receptor) (Purinergic receptor). [Source:Uniprot/SWISSPROT;Acc:P41231],55.17,ENSXETP00000023462|Hypothetical protein MGC75941. [Source:Uniprot/SPTREMBL;Acc:Q6P852],51.46,gi|28422160|gb|AAH46837| 'P2ry4 protein [Xenopus laevis]',43.65,ENSGACP00000010887|P2Y purinoceptor 2 (P2Y2) (P2U purinoceptor 1) (P2U1) (ATP receptor) (Purinergic receptor). [Source:Uniprot/SWISSPROT;Acc:P41231],44.65,"ENSDARP00000045017|Novel protein similar to vertebrate purinergic receptor P2Y, G-protein coupled family. [Source:Uniprot/SPTREMBL;Acc:Q1LY72]",46.56,"FBpp0099628 type=protein; loc=3L:complement(18479829..18480293,18480513..18480602,18480816..18481904); ID=FBpp0099628; name=AlCR2-PC; parent=FBgn0036789,FBtr0100242; dbxref=FlyBase_Annotation_IDs:CG13702-PC,FlyBase:FBpp0099628,GB_protein:AAZ66058.1,GB_protein:AAZ66058; MD5=0e4f73ca05e46e5dd4d334f6d9a94899; length=547; release=r5.6; species=Dmel;",19.67,jgi|Dappu1|12576|gw1.75.90.1,20.16,ZK455.3 CE03814 WBGene00013974 locus:npr-9 G-protein coupled receptor status:Predicted TR:Q23497 protein_id:CAA91489.1,19.07,AT1G08350.2 | Symbols:  | endomembrane protein 70 family protein | chr1:2632967-2635602 REVERSE,12.96,jgi|Chlre3|177782,13.64,DDB0216590 |Protein| gene: JC1V2_0_00666 on chromosome: 1 position 1649497 to 1653049,10.55,YDL093W|dolichyl phosphate-D-mannose protein O-D-mannosyltransferase,9.94,3830.m00567 TTHERM_00532570 hypothetical protein,9.8,No Hit,0,syc1663_d ABC-type phosphate transport system permease protein (pstC) {Synechococcus elongatus PCC 6301},11.14
P41250|SYG_HUMAN Glycyl-tRNA synthetase - Homo sapiens,Enzyme,Glycine(DB00145),ENSMUSP00000003572|Glycyl-tRNA synthetase (EC 6.1.1.14) (Glycine--tRNA ligase) (GlyRS). [Source:Uniprot/SWISSPROT;Acc:Q9CZD3],90.39,ENSGALP00000038229|glycyl-tRNA synthetase [Source:RefSeq_peptide;Acc:NP_001026681],85.04,ENSXETP00000040008|Glycyl-tRNA synthetase. [Source:Uniprot/SPTREMBL;Acc:Q68FB4],82.59,gi|50417426|gb|AAH77232| 'Gars-prov protein [Xenopus laevis]',82,ENSGACP00000004510|Glycyl-tRNA synthetase (EC 6.1.1.14) (Glycine--tRNA ligase) (GlyRS). [Source:Uniprot/SWISSPROT;Acc:P41250],79.55,ENSDARP00000076519|Wu:fb02f03 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q4V9I4],80.84,"FBpp0075386 type=protein; loc=3L:15088362..15090659; ID=FBpp0075386; name=Aats-gly-PB; parent=FBgn0027088,FBtr0075633; dbxref=FlyBase:FBpp0075386,FlyBase_Annotation_IDs:CG6778-PB,GB_protein:AAN11786.1,GB_protein:AAN11786; MD5=43c3354cfb40236dbf6baf518fdd3292; length=765; release=r5.6; species=Dmel;",54.58,jgi|Dappu1|192225|estExt_Genewise1Plus.C_50226,55.89,T10F2.1b CE32719 WBGene00001744 locus:grs-1 status:Confirmed TR:Q8I711 protein_id:AAN65294.1,52.5,AT1G29880.1 | Symbols:  | glycyl-tRNA synthetase / glycine--tRNA ligase | chr1:10459646-10462765 REVERSE,45.49,jgi|Chlre3|82920,43.07,DDB0231313 |Protein| gene: glyS on chromosome: 4 position 2181616 to 2183756,42.45,"YBR121C|tRNA synthase, glycyl",39.1,7.m00537 TTHERM_00106940 glycyl-tRNA synthetase family protein,40.32,b0194 proline tRNA synthetase (proS) [6.1.1.15] {Escherichia coli K12-MG1655},13.09,syc2136_c proline-tRNA ligase (proS) {Synechococcus elongatus PCC 6301},12.3
"P41252|SYIC_HUMAN Isoleucyl-tRNA synthetase, cytoplasmic - Homo sapiens",Enzyme,L-Isoleucine(DB00167),"ENSMUSP00000048096|Isoleucyl-tRNA synthetase, cytoplasmic (EC 6.1.1.5) (Isoleucine--tRNA ligase) (IleRS) (IRS). [Source:Uniprot/SWISSPROT;Acc:Q8BU30]",90.36,"ENSGALP00000007672|Isoleucyl-tRNA synthetase, cytoplasmic (EC 6.1.1.5) (Isoleucine--tRNA ligase) (IleRS) (IRS). [Source:Uniprot/SWISSPROT;Acc:P41252]",81.64,"ENSXETP00000045168|Isoleucyl-tRNA synthetase, cytoplasmic (EC 6.1.1.5) (Isoleucine--tRNA ligase) (IleRS) (IRS). [Source:Uniprot/SWISSPROT;Acc:P41252]",72.54,gi|148234431|ref|NP_001084397| 'hypothetical protein LOC403361 [Xenopus laevis]',76.87,"ENSGACP00000009432|Isoleucyl-tRNA synthetase, cytoplasmic (EC 6.1.1.5) (Isoleucine--tRNA ligase) (IleRS) (IRS). [Source:Uniprot/SWISSPROT;Acc:P41252]",74.76,ENSDARP00000009149|isoleucyl-tRNA synthetase [Source:RefSeq_peptide;Acc:NP_956190],31.27,"FBpp0078152 type=protein; loc=3L:join(22281897..22282039,22282104..22283355,22283413..22284263,22284329..22284821,22284883..22285833); ID=FBpp0078152; name=Aats-ile-PD; parent=FBgn0027086,FBtr0078500; dbxref=FlyBase:FBpp0078152,FlyBase_Annotation_IDs:CG11471-PD,GB_protein:AAO41285.1,GB_protein:AAO41285; MD5=569e292448c5a4f522b244946d0fe388; length=1229; release=r5.6; species=Dmel;",50.71,jgi|Dappu1|316089|NCBI_GNO_1600164,55.81,R11A8.6 CE06304 WBGene00002152 locus:irs-1 isoleucyl-tRNA synthetase status:Partially_confirmed SW:Q21926 protein_id:CAA94369.1,50.12,"AT4G10320.1 | Symbols:  | isoleucyl-tRNA synthetase, putative / isoleucine--tRNA ligase, putative | chr4:6397522-6404505 REVERSE",45.23,jgi|Chlre3|139213,45.97,DDB0231258 |Protein| gene: ileS on chromosome: 3 position 632971 to 636359,46.46,"YBL076C|tRNA synthetase, isoleucyl",44.85,3711.m00056 TTHERM_00492850 isoleucyl-tRNA synthetase family protein,41.9,b0026 isoleucine tRNA synthetase (ileS) [6.1.1.5] {Escherichia coli K12-MG1655},17.88,syc1669_d isoleucyl-tRNA synthetase (ileS) {Synechococcus elongatus PCC 6301},18.49
P41439|FOLR3_HUMAN Folate receptor gamma precursor - Homo sapiens,Receptor,Folic Acid(DB00158),ENSMUSP00000091692|Folate receptor beta precursor (FR-beta) (Folate receptor 2) (Folate- binding protein 2). [Source:Uniprot/SWISSPROT;Acc:Q05685],72.43,ENSGALP00000035594|folate receptor 1 (adult) [Source:RefSeq_peptide;Acc:NP_990165],60.49,ENSXETP00000051710|Hypothetical protein MGC76048. [Source:Uniprot/SPTREMBL;Acc:Q6P638],54.73,gi|148225128|ref|NP_001086114| 'MGC82130 protein [Xenopus laevis]',53.25,"ENSGACP00000010359|Folate receptor beta precursor (FR-beta) (Folate receptor 2) (Folate receptor, fetal/placental) (Placental folate-binding protein) (FBP). [Source:Uniprot/SWISSPROT;Acc:P14207]",48.97,ENSDARP00000032849|hypothetical protein LOC553764 [Source:RefSeq_peptide;Acc:NP_001018566],21.8,"FBpp0083595 type=protein; loc=3R:join(18000090..18000449,18104074..18104348,18104428..18104477,18104951..18105057,18106521..18106607,18107569..18107625,18110600..18110657,18111194..18111423,18113519..18113682,18115202..18115283,18115800..18116018,18116884..18117076,18118035..18118180,18118335..18118600,18118672..18118793,18119181..18119623); ID=FBpp0083595; name=CG31163-PB; parent=FBgn0051163,FBtr0084197; dbxref=FlyBase:FBpp0083595,FlyBase_Annotation_IDs:CG31163-PB,GB_protein:AAF55958.2,GB_protein:AAF55958; MD5=fab6dd0ff4e3fb79efd91beabeb73747; length=952; release=r5.6; species=Dmel;",10.65,jgi|Dappu1|299512|BDE_fgenesh1_kg.C_scaffold_3000065,38,C17G1.1 CE08280 WBGene00007648 status:Partially_confirmed TR:Q93239 protein_id:CAB01671.1,9.96,"AT5G40820.1 | Symbols: ATR, ATATR, ATRAD3 | ATRAD3 (ATAXIA TELANGIECTASIA-MUTATED AND RAD3-RELATED); inositol or phosphatidylinositol kinase | chr5:16361088-16371075 REVERSE",9,jgi|Chlre3|146894,10.13,DDB0184356 |Protein| gene: BEC6V2_0_00587 on chromosome: 6 position 1536171 to 1539548,11.48,No Hit,0,"3681.m00006 TTHERM_00441760 RNA helicase, putative",11.62,"b1683 orf, hypothetical protein (ynhE) {Escherichia coli K12-MG1655}",15.08,syc1444_d perosamine synthetase (rfbE) {Synechococcus elongatus PCC 6301},9.94
P41594|GRM5_HUMAN Metabotropic glutamate receptor 5 precursor - Homo sapiens,Receptor,Acamprosate(DB00659),ENSMUSP00000102884|GRM5_MOUSE Isoform 2 of Q3UVX5 - Mus musculus (Mouse) [Source:Uniprot/Varsplic;Acc:Q3UVX5-2],92.24,"ENSGALP00000027815|glutamate receptor, metabotropic 5 [Source:RefSeq_peptide;Acc:NP_989469]",88.26,ENSXETP00000025700|Metabotropic glutamate receptor 5 precursor (mGluR5). [Source:Uniprot/SWISSPROT;Acc:P41594],80.23,gi|148232936|ref|NP_001084496| 'putative pheromone receptor [Xenopus laevis]',15.99,ENSGACP00000027224|Metabotropic glutamate receptor 5 precursor (mGluR5). [Source:Uniprot/SWISSPROT;Acc:P41594],64.23,ENSDARP00000042766,62.74,"FBpp0088248 type=protein; loc=4:join(959056..959743,960800..961343,963393..963646,963729..963835,964174..964299,964360..964879,964932..965227,966851..967246); ID=FBpp0088248; name=mGluRA-PA; parent=FBgn0019985,FBtr0089184; dbxref=FlyBase:FBpp0088248,FlyBase_Annotation_IDs:CG11144-PA,GB_protein:AAF59402.1,GB_protein:AAF59402; MD5=3022f039c15b4e0a46edf5cb1019962c; length=976; release=r5.6; species=Dmel;",28.66,jgi|Dappu1|64876|e_gw1.188.4.1,34.72,F45H11.4 CE42117 WBGene00003233 locus:mgl-2 metabotropic glutamate receptor status:Partially_confirmed TR:Q93564 protein_id:CAB01711.3,31.11,"AT2G32400.1 | Symbols: GLR3.7, ATGLR3.7, GLR5 | GLR5 (Glutamate receptor 5) | chr2:13759742-13763310 REVERSE",13.19,jgi|Chlre3|128114,8.5,DDB0231976 |Protein| gene: grlE on chromosome: 6 position 173621 to 176169,13.64,YPR156C|major facilitator superfamily,7.65,3829.m01128 TTHERM_00155300 Insect antifreeze protein,9.47,"b2984 orf, hypothetical protein (yghR) {Escherichia coli K12-MG1655}",4.29,syc2233_d periplasmic binding protein of ABC transporter for natural amino acids (natB) {Synechococcus elongatus PCC 6301},6.34
P41595|5HT2B_HUMAN 5-hydroxytryptamine receptor 2B - Homo sapiens,Receptor,"Eletriptan(DB00216), Triflupromazine(DB00508), Sumatriptan(DB00669), Minaprine(DB00805), Quetiapine(DB01224), Chlorprothixene(DB01239), Methotrimeprazine(DB01403)",ENSMUSP00000027431|5-hydroxytryptamine receptor 2B (5-HT-2B) (Serotonin receptor 2B) (5- HT-2F) (NP75 protein). [Source:Uniprot/SWISSPROT;Acc:Q02152],81.7,ENSGALP00000012437|5-hydroxytryptamin receptor (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q9PTB1],70.89,ENSXETP00000021042|5-hydroxytryptamine receptor 2B (5-HT-2B) (Serotonin receptor 2B). [Source:Uniprot/SWISSPROT;Acc:P41595],61.98,gi|33636340|gb|CAD71264| '5HT2B serotonin receptor [Xenopus laevis]',61.16,ENSGACP00000012208|5-hydroxytryptamine receptor 2B (5-HT-2B) (Serotonin receptor 2B). [Source:Uniprot/SWISSPROT;Acc:P41595],53.88,ENSDARP00000095341|serotonin receptor 2B [Source:RefSeq_peptide;Acc:NP_001038208],54.81,"FBpp0099562 type=protein; loc=X:complement(19901052..19901263,19901374..19901474,19904358..19904656,19905163..19905415,19905488..19905597,19920738..19920928,19921784..19922003); ID=FBpp0099562; name=D2R-PA; parent=FBgn0053517,FBtr0070033; dbxref=FlyBase_Annotation_IDs:CG33517-PA,FlyBase:FBpp0099562,GB_protein:AAX52462.1,GB_protein:AAX52462; MD5=598db6fe2854f10e9a5aa4a667ca64b6; length=461; release=r5.6; species=Dmel;",21,jgi|Dappu1|45558|e_gw1.9.244.1,24.45,"F59C12.2a CE28481 WBGene00004776 locus:ser-1 G-protein coupled receptor, family 1 status:Confirmed TR:O17470 protein_id:AAK29709.2",22.16,AT5G59590.1 | Symbols:  | UDP-glucoronosyl/UDP-glucosyl transferase family protein | chr5:24026378-24027811 REVERSE,12.01,jgi|Chlre3|196484,12.67,DDB0237529 |Protein| gene: xrn1 on chromosome: 2 position 6219034 to 6224717,9.56,YDR265W|Peroxisomal biogenesis protein,10.19,"129.m00082 TTHERM_00775980 oxidoreductase, zinc-binding dehydrogenase family protein",10.69,b2542 ferredoxin reductase subunit of phenylpropionate dioxygenase (hcaD) {Escherichia coli K12-MG1655},11.23,syc1474_d H+/Ca2+ exchanger {Synechococcus elongatus PCC 6301},10.6
P42081|CD86_HUMAN T-lymphocyte activation antigen CD86 precursor - Homo sapiens,Receptor,Abatacept(DB01281),ENSMUSP00000087047|T-lymphocyte activation antigen CD86 precursor (Activation B7-2 antigen) (Early T-cell costimulatory molecule 1) (ETC-1). [Source:Uniprot/SWISSPROT;Acc:P42082],46.81,ENSGALP00000023157|hypothetical protein LOC427944 [Source:RefSeq_peptide;Acc:NP_001032928],27.54,ENSXETP00000033063|T-lymphocyte activation antigen CD86 precursor (Activation B7-2 antigen) (CTLA-4 counter-receptor B7.2) (B70) (FUN-1) (BU63). [Source:Uniprot/SWISSPROT;Acc:P42081],20.24,gi|148226336|ref|NP_001088593| 'hypothetical protein LOC495478 [Xenopus laevis]',15.06,ENSGACP00000021850|CD276 antigen precursor (Costimulatory molecule) (B7 homolog 3) (B7- H3) (4Ig-B7-H3). [Source:Uniprot/SWISSPROT;Acc:Q5ZPR3],14.03,ENSDARP00000069783|hypothetical protein LOC768172 [Source:RefSeq_peptide;Acc:NP_001070783],17.66,"FBpp0073730 type=protein; loc=X:join(14302306..14302354,14319220..14319389,14338350..14338560,14347002..14347129,14348094..14348262,14353190..14353497); ID=FBpp0073730; name=dpr8-PA; parent=FBgn0052600,FBtr0073913; dbxref=FlyBase:FBpp0073730,FlyBase_Annotation_IDs:CG32600-PA,GB_protein:AAF48372.2,GB_protein:AAF48372; MD5=157c134c91a0a232e7367a58573987a9; length=344; release=r5.6; species=Dmel;",15.85,jgi|Dappu1|300025|PASA_GEN_0100298,14.89,C26G2.1 CE19703 WBGene00007750 locus:syg-2 Immunoglobulin domain \; Fibronectin type III domain status:Partially_confirmed TR:Q9U3P2 protein_id:CAB63432.1,10.21,AT5G62710.1 | Symbols:  | leucine-rich repeat family protein / protein kinase family protein | chr5:25204664-25207551 FORWARD,11.22,jgi|Chlre3|147758,10,DDB0202104 |Protein| gene: JC1V2_0_00232 on chromosome: 1 position 515177 to 518377,12.33,YEL071W|D-lactate dehydrogenase,13.8,3735.m00035 TTHERM_00557990 hypothetical protein,14.21,b4349 host modification; DNA methylase M (hsdM) [2.1.1.72] {Escherichia coli K12-MG1655},11.46,syc2214_d L-aspartate oxidase (nadB) {Synechococcus elongatus PCC 6301},10.86
